"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-06-10","0.00",",,7,0700","0.0",",,7,","0.0",",,7,","69",",,7","51",",,7","56",",,7,0700","0.0",",,7",,,,,,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-06-11","0.00",",,7,0700","0.0",",,7,","0.0",",,7,","75",",,7","56",",,7","65",",,7,0700","0.0",",,7",,,,,,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-06-12","0.00",",,7,0700","0.0",",,7,","0.0",",,7,","87",",,7","65",",,7","74",",,7,0700","0.0",",,7",,,,,,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-06-13","0.00",",,7,0700","0.0",",,7,","0.0",",,7,","76",",,7","55",",,7","57",",,7,0700","0.0",",,7",,,,,,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-06-14","0.00",",,7,0700","0.0",",,7,","0.0",",,7,","72",",,7","54",",,7","57",",,7,0700",,,,,,,,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-06-15","0.00",",,7,0700","0.0",",,7,","0.0",",,7,","74",",,7","56",",,7","59",",,7,0700","0.0",",,7",,,,,,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-06-16","0.29",",,7,0700","0.0",",,7,","0.0",",,7,","76",",,7","59",",,7","67",",,7,0700","0.0",",,7","    1",",,7",,,,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-06-17","0.11",",,7,0700","0.0",",,7,","0.0",",,7,","73",",,7","62",",,7","64",",,7,0700","0.0",",,7","    1",",,7",,,,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-06-18","0.00",",,7,0700","0.0",",,7,","0.0",",,7,","79",",,7","58",",,7","62",",,7,0700","0.0",",,7",,,,,,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-06-19","0.00",",,7,0700","0.0",",,7,","0.0",",,7,","83",",,7","62",",,7","68",",,7,0700","0.0",",,7",,,,,,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-06-20","0.00",",,7,0700","0.0",",,7,","0.0",",,7,","85",",,7","64",",,7","69",",,7,0700","0.0",",,7",,,,,,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-06-21","0.00",",,7,0700","0.0",",,7,","0.0",",,7,","86",",,7","67",",,7","68",",,7,0700",,,,,,,,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-06-22","0.00",",,7,0700","0.0",",,7,","0.0",",,7,","81",",,7","61",",,7","66",",,7,0700","0.0",",,7",,,,,,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-06-23","0.05",",,7,0700","0.0",",,7,","0.0",",,7,","78",",,7","63",",,7","64",",,7,0700","0.0",",,7",,,,,,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-06-24","0.06",",,7,0700","0.0",",,7,","0.0",",,7,","79",",,7","62",",,7","63",",,7,0700","0.0",",,7",,,"    1",",,7",,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-06-25","0.00",",,7,0700","0.0",",,7,","0.0",",,7,","75",",,7","62",",,7","66",",,7,0700","0.0",",,7",,,,,,,,,,,,
